LifetimeValue,DaysWithoutFrequency,Age,Gender_dummy,Gender,EnrollmentDuration,DaysWithoutFrequency,AverageFrequency,UseByTime,AthleticsActivities,WaterActivities,FitnessActivities,DanceActivities,TeamActivities,RacketActivities,CombatActivities,NatureActivities,SpecialActivities,OtherActivities,NumberOfActivities,NumberOfFrequencies,AttendedClasses,AllowedWeeklyVisitsBySLA,AllowedNumberOfVisitsBySLA,RealNumberOfVisits,Ratio,NumberOfRenewals,HasReferences,NumberOfReferences,Dropout
101.6,31,29,1,Male,4,31,1.34,0,0,0,1,0,0,0,0,0,0,0,1,29,0,7,62.02,14,22.57,0,0,0,1
1286,42,31,0,Female,40,42,1.37,0,0,1,1,0,0,0,0,0,0,0,2,213,24,7,62.02,9,14.51,4,0,0,1
233.6,47,49,0,Female,8,47,0.79,0,0,0,1,0,0,0,0,0,0,0,1,24,19,4,34.84,5,14.35,1,0,0,1
73.9,13,19,1,Male,7,13,0.44,0,0,0,1,0,0,0,0,0,0,0,1,12,0,7,34.02,6,17.64,1,0,0,1
160.4,102,57,1,Male,8,102,0.23,0,0,1,0,0,0,0,0,0,0,0,1,6,0,7,59.01,0,0,2,0,0,1
61.6,34,31,0,Female,2,34,0.13,0,0,0,0,0,0,0,1,0,0,0,1,1,0,7,38.99,1,2.56,0,0,0,1
186.3,14,22,0,Female,10,14,0.5,0,0,0,0,0,0,0,1,0,0,0,1,22,0,7,60.97,5,8.2,0,0,0,1
218.6,51,35,0,Female,8,51,0.68,0,0,0,1,0,0,0,0,0,0,0,1,20,20,4,34.84,7,20.09,1,0,0,1
82.6,13,20,0,Female,7,13,0.61,0,0,0,1,0,0,0,0,0,0,0,1,14,0,7,30.03,6,19.98,1,0,0,1
257.8,33,15,0,Female,26,33,0.18,0,0,1,0,0,0,0,0,0,0,0,1,18,18,2,17.42,3,17.22,3,0,0,1
716.1,5,11,1,Male,24,5,0.52,0,1,0,0,0,0,0,0,0,0,0,1,52,0,2,17.42,4,22.96,2,0,0,0
1213.3,6,8,0,Female,39,6,0.69,0,0,1,0,0,0,0,0,0,0,0,1,107,92,2,17.42,4,22.96,4,0,0,0
61.6,53,39,0,Female,3,53,1.39,0,0,0,1,0,0,0,0,0,0,0,1,19,0,7,60.97,6,9.84,0,0,0,1
86.1,81,20,0,Female,3,81,0.22,0,0,0,1,0,0,0,0,0,0,0,1,3,0,7,60.97,0,0,0,0,0,1
692.2,1,83,1,Male,33,1,2.16,0,0,0,0,0,0,0,0,0,1,0,1,291,0,7,59.01,46,77.95,3,0,0,0
714.2,5,8,1,Male,25,5,0.4,0,0,1,0,0,1,0,1,0,0,0,3,40,37,2,17.42,5,28.7,2,0,0,0
787,881,29,1,Male,35,881,0.05,0,0,0,1,0,1,0,0,0,0,0,2,7,7,2,17.42,0,0,4,0,0,1
216.5,0,35,1,Male,10,0,0.87,0,0,0,0,0,0,0,1,0,0,0,1,37,0,7,59.99,4,6.67,0,0,0,1
118.6,69,19,0,Female,3,69,0.23,0,0,0,0,0,0,0,1,0,0,0,1,3,0,7,62.02,0,0,0,0,0,1
65.4,61,22,0,Female,3,61,0.47,0,0,0,1,0,0,0,0,0,0,0,1,6,0,7,60.97,1,1.64,0,0,0,1
289.6,121,20,0,Female,12,121,0.71,0,0,1,0,0,0,0,0,0,0,0,1,32,0,7,60.97,0,0,1,0,0,1
310.6,3,27,0,Female,9,3,2.39,0,0,0,1,0,0,0,0,0,1,0,2,78,6,7,4.97,2,40.24,2,0,0,1
374.6,91,34,1,Male,12,91,0.89,0,0,0,0,0,0,0,1,0,0,0,1,43,0,7,60.97,0,0,2,0,0,1
499.1,88,17,0,Female,21,88,0.59,0,0,0,0,0,1,0,0,0,0,0,1,48,49,1,8.71,1,11.48,3,0,0,1
68,38,22,0,Female,4,38,0.54,0,0,0,1,0,0,0,0,0,0,0,1,8,0,7,60.97,4,6.56,0,0,0,1
217.7,49,20,0,Female,23,49,1.74,0,1,0,0,0,0,0,0,0,0,0,1,156,0,7,60.97,1,1.64,3,0,0,1
48,16,19,0,Female,0,16,0.47,0,0,0,1,0,0,0,0,0,0,0,1,2,0,7,28.98,2,6.9,0,0,0,0
41.6,47,23,0,Female,2,47,0.38,0,0,1,0,0,0,0,0,0,0,0,1,3,0,7,52.99,3,5.66,0,0,0,1
96.2,2,29,0,Female,1,2,1.86,0,0,0,1,0,0,0,0,0,0,0,1,13,0,7,48.02,13,27.07,0,0,0,0
198.2,122,32,1,Male,12,122,0.26,0,0,0,1,0,0,0,0,0,0,0,1,13,0,7,28.98,6,20.7,1,0,0,1
